"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0D1pEisM3QkiacGXJe5dmd","(You're The) Devil in Disguise","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","spotify:album:0QVoYzGd1p8Z3ohEaM0lsc","Elvis 30 #1 Hits","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","2002-09-24","https://i.scdn.co/image/ab67616d0000b273a0b8a1ce10fddbba6879262e","1","24","140426","https://p.scdn.co/mp3-preview/340dff24cd2df73488c33c851ae75aa6e1d2266a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:1217963894","2022-03-28T20:31:22Z"
"spotify:track:0JzY0H2yyNWTEn5igQimL4","Mr. Sandman","spotify:artist:6BeII74P2gjYRufaqZJ32S, spotify:artist:12Uizdq25RuYXWgbWLu076","Pat Ballard, Chordetts","spotify:album:5ZbzRxYCam8JSFYVj7AY1L","Halloween II - 30th Anniversary Expanded Original Motion Picture Soundtrack","spotify:artist:0hxQtmgWiPtEsDPeIuKxXq, spotify:artist:3Ia5S5H9yoQpc9Hqy0cqAU","John Carpenter, Alan Howarth","1981-10-31","https://i.scdn.co/image/ab67616d0000b27313a5d892ff937530c4f6019e","1","12","142226","https://p.scdn.co/mp3-preview/dd8f3de6677633229e8825c1ce68d50f08446b9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:1217963894","2022-03-28T20:32:16Z"
"spotify:track:11XR0tRT4g5ov4u8M92wbF","Earth Angel (Will You Be Mine)","spotify:artist:6lOk7hCr8x3O9vHwylXyHR","The Penguins","spotify:album:22MQotgEOE29gE6YnhN4Ox","The Best Of The Penguins","spotify:artist:6lOk7hCr8x3O9vHwylXyHR","The Penguins","1996-01-01","https://i.scdn.co/image/ab67616d0000b273660bbbdf242a4aeb6fe2003c","1","1","179426","https://p.scdn.co/mp3-preview/481d521c39b3ef96ca4e7bdad3f061583b8811bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:1217963894","2022-03-28T20:33:43Z"
"spotify:track:3I1vEQhGwRK7URrTq4BqNl","(Ghost) Riders in the Sky","spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Johnny Cash","spotify:album:5LWsHgqyGqhd6HNBYLb6W7","Silver","spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Johnny Cash","1979-05-01","https://i.scdn.co/image/ab67616d0000b27379d1be381026d9bbd0de591b","1","5","224813","https://p.scdn.co/mp3-preview/70d4d6214b61483b3b3bc41e50151d76bf0b07de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:1217963894","2022-03-28T20:34:42Z"
"spotify:track:0jvN7eQJJt4nxQzgQfZ1SP","Spirit In The Sky","spotify:artist:7f8LNBVXN0h35veHrpxQFL","Norman Greenbaum","spotify:album:05qYXT9UP6pXR9u0BtntD1","Spirit In The Sky","spotify:artist:7f8LNBVXN0h35veHrpxQFL","Norman Greenbaum","1969-01-01","https://i.scdn.co/image/ab67616d0000b2735c1c4d3d94d0e845bd1ebec1","1","2","242893","https://p.scdn.co/mp3-preview/d10e25114a07e435e79ec3936bf2663819f3edba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:1217963894","2022-03-28T20:36:50Z"
"spotify:track:7GJ572zvnU94VZVrj5XRtb","Spirits","spotify:artist:6ujr1NkqbZpYOhquczUUfl","The Strumbellas","spotify:album:4wIE6aAQq4GL10ae7cjZZ0","Hope","spotify:artist:6ujr1NkqbZpYOhquczUUfl","The Strumbellas","2016-04-22","https://i.scdn.co/image/ab67616d0000b27350352e5af40e4165d670ccee","1","1","203653","https://p.scdn.co/mp3-preview/f7dc164acacd24ea0f490d78a6a7c81da2279fcc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:1217963894","2022-03-28T20:37:37Z"
"spotify:track:2l0Z9fY1E8Bep8opmhmDhq","Frankenstein","spotify:artist:7j9PMegEgVN1fNp8NZXNCI","The Edgar Winter Group","spotify:album:4CNEJF5wYGqhOYEKq8ciu8","They Only Come Out At Night","spotify:artist:3UNrI3SG1l2ezKikxQ2zuk","Edgar Winter","1972-11-30","https://i.scdn.co/image/ab67616d0000b27309a01850dfed5fdc478151b3","1","10","284293","https://p.scdn.co/mp3-preview/156bb148d5441a69d9235b5e34eb74b3b36da503?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:1217963894","2022-03-28T20:46:51Z"
"spotify:track:4ByEFOBuLXpCqvO1kw8Wdm","(I Just) Died In Your Arms","spotify:artist:3cniTumSiUysiPWXapGx1i","Cutting Crew","spotify:album:3wCe8HjHk6QNGcf5D3jgW1","Broadcast","spotify:artist:3cniTumSiUysiPWXapGx1i","Cutting Crew","1986-01-01","https://i.scdn.co/image/ab67616d0000b273fb2faa3ed46d1d0124ca325e","1","6","280400","https://p.scdn.co/mp3-preview/b2a385a368b4cb3fa80d69a3b21cffdfbad127c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:1217963894","2022-03-28T20:48:22Z"
"spotify:track:4IO8X9W69dIQe0EC5ALXhq","Immortal","spotify:artist:1URnnhqYAYcrqrcwql10ft","21 Savage","spotify:album:7xgzD7onYd1Pms93ZOtxxX","Immortal","spotify:artist:1URnnhqYAYcrqrcwql10ft","21 Savage","2019-10-31","https://i.scdn.co/image/ab67616d0000b273555d4944782c87c10ed07eec","1","1","254723","https://p.scdn.co/mp3-preview/e5dffe32645df3ea781c2fb4af4f06587b5c6337?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:1217963894","2022-03-28T20:54:26Z"
"spotify:track:6kJy8JeLBHgoI9Id9CgpoA","The Monster","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Eminem, Rihanna","spotify:album:6Vn28iXHIwxmvh4Va0hSoe","The Marshall Mathers LP2 (Deluxe)","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2013-11-05","https://i.scdn.co/image/ab67616d0000b273f98e156a7e32f58c32286af9","1","12","250188","https://p.scdn.co/mp3-preview/59e2afcc1191268fb8273abde473578395e45226?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:1217963894","2022-03-28T20:57:37Z"
"spotify:track:0oPZm6DNVj4rv5uGOw2w7q","Possession","spotify:artist:4NgNsOXSwIzXlUIJcpnNUp","Sarah McLachlan","spotify:album:6mQQnaOYSffJ03SbPe0ezg","Fumbling Towards Ecstasy (Legacy Edition)","spotify:artist:4NgNsOXSwIzXlUIJcpnNUp","Sarah McLachlan","1993","https://i.scdn.co/image/ab67616d0000b273b556adc596e66e220f632154","1","1","279466","https://p.scdn.co/mp3-preview/aabeaf0d308eb3c38932ef51b353e5dc96d01115?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:1217963894","2022-03-28T21:01:11Z"
"spotify:track:7wJcyNhjo9bnl8ZzKQk62i","People Who Died","spotify:artist:1Ru8OyDdYV6t7uMOCANJoP","Jim Carroll","spotify:album:7oTJ4teWqSZmlUMlwWO5uy","I Know Everybody In the City","spotify:artist:4B8sy390HrRnmB54r3kaps","Vice & Vanity","2005-11-04","https://i.scdn.co/image/ab67616d0000b273e137857c00fff0af57ae914a","1","3","239693","https://p.scdn.co/mp3-preview/3d2c55d93493c30c0bb5c43ce509828a17b8b597?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:1217963894","2022-03-28T21:07:36Z"
"spotify:track:7IhsLJMqdxoo7YAZjaSMru","Dead And Gone","spotify:artist:4OBJLual30L7gRl5UkeRcT, spotify:artist:31TPClRtHm23RisEBtV3X7","T.I., Justin Timberlake","spotify:album:5PfepkNWgRR2DI02Y8AawC","Paper Trail","spotify:artist:4OBJLual30L7gRl5UkeRcT","T.I.","2008-09-07","https://i.scdn.co/image/ab67616d0000b273b6d4478c6f91f1cb2d326c78","1","16","299746","https://p.scdn.co/mp3-preview/e1d225f8719baf7fbd0c74661dd62bd90ef2872f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:121770530","2022-04-17T05:24:14Z"
